lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
5e-05,128,0.0,14,1,0.14280013733656993,0.9482956376055158,0.9397386483857693,0.9236524714492248,0.9482956376055158,0.9482956376055158,8.178502321243286e-05,1.0,1.0,1.0,1.0,1.0,248.36208319664001
5e-05,128,0.0,15,1,0.15996442506336267,0.9408209291835814,0.9329312230788811,0.9170058329885458,0.9408209291835814,0.9408209291835814,0.0005736019811592996,1.0,1.0,1.0,1.0,1.0,244.08114314079285
5e-05,128,0.0,16,1,0.170533077159768,0.9392461764894093,0.9300543663291899,0.909684466569995,0.9392461764894093,0.9392461764894093,5.0826235635614534e-05,1.0,1.0,1.0,1.0,1.0,251.56419205665588
5e-05,128,0.0,18,1,0.15831916654034747,0.9422950819672131,0.9317037798623096,0.9154447606286676,0.9422950819672131,0.9422950819672131,9.077173967658677e-05,1.0,1.0,1.0,1.0,1.0,247.93388199806213
5e-05,128,0.0,19,1,0.12477330294703959,0.9536073836317466,0.9402466299848138,0.9303687240941736,0.9536073836317466,0.9536073836317466,2.1006813767598942e-05,1.0,1.0,1.0,1.0,1.0,244.0527286529541
5e-05,128,0.0,20,1,0.13119102224820317,0.952655397826171,0.9377333685085407,0.9295238604880508,0.952655397826171,0.952655397826171,0.0024494582321494818,1.0,1.0,1.0,1.0,1.0,243.31007838249207
5e-05,128,0.0,21,1,0.13384492181859456,0.9515449166634441,0.9352921386160234,0.9258256129425452,0.9515449166634441,0.9515449166634441,3.339456088724546e-05,1.0,1.0,1.0,1.0,1.0,244.04394698143005
5e-05,128,0.0,22,1,0.12343069460786336,0.9557057346978182,0.9463226909049903,0.9313482977777183,0.9557057346978182,0.9557057346978182,4.6270791952136075e-05,1.0,1.0,1.0,1.0,1.0,247.59228825569153
5e-05,128,0.0,23,1,0.1434689147923236,0.947983055866713,0.9380405125868156,0.920190053668105,0.947983055866713,0.947983055866713,5.35576073161792e-05,1.0,1.0,1.0,1.0,1.0,243.60538959503174
5e-05,128,0.0,24,1,0.1259362349071063,0.9544640671896536,0.9453849505886125,0.9298061046278309,0.9544640671896536,0.9544640671896536,4.45893092546612e-05,1.0,1.0,1.0,1.0,1.0,244.52606296539307
5e-05,128,0.0,25,1,0.11555004499793073,0.9563254755198889,0.9442410241421474,0.9363766130478671,0.9563254755198889,0.9563254755198889,9.50325883658715e-06,1.0,1.0,1.0,1.0,1.0,247.45937848091125
5e-05,128,0.0,26,1,0.15410268844946567,0.943729530391727,0.9334630485860179,0.9141739298345982,0.943729530391727,0.943729530391727,0.0005993956001475453,1.0,1.0,1.0,1.0,1.0,247.67656683921814
5e-05,128,0.0,27,1,0.14054263959051164,0.948340339927269,0.9378932781854186,0.9250408295431338,0.948340339927269,0.948340339927269,0.00011064856516895816,1.0,1.0,1.0,1.0,1.0,248.65994548797607
5e-05,128,0.0,28,1,0.11317424937724231,0.9578745132423859,0.948362219196607,0.9381678912473165,0.9578745132423859,0.9578745132423859,0.00038891061558388174,1.0,1.0,1.0,1.0,1.0,248.8422315120697
