lr,batch_size,dropout,fold,trained_epochs,train_loss,train_acc,train_UF1,train_UAR,train_f1_micro,train_recall_micro,val_loss,val_acc,val_UF1,val_UAR,val_f1_micro,val_recall_micro,train_time_sec
1e-05,128,0.0,23,1,0.14988377861803454,0.9470349309504468,0.9386707754563494,0.9300016097586666,0.9470349309504468,0.9470349309504468,0.0009431918386859123,1.0,1.0,1.0,1.0,1.0,348.9258306026459
1e-05,128,0.0,24,1,0.15792271537866578,0.9431619068263516,0.9423851303161853,0.9252252250396534,0.9431619068263516,0.9431619068263516,0.0007777407299727201,1.0,1.0,1.0,1.0,1.0,348.92574071884155
1e-05,128,0.0,25,1,0.14930749771974305,0.9479161030857184,0.9450055827167784,0.9275540096658194,0.9479161030857184,0.9479161030857184,0.000804095321298376,1.0,1.0,1.0,1.0,1.0,349.6410176753998
1e-05,128,0.2,0,3,0.08640230886168206,0.9694457987973346,0.9737816830116496,0.9718224494104881,0.9694457987973346,0.9694457987973346,0.012331386269242675,1.0,1.0,1.0,1.0,1.0,427.3295524120331
1e-05,128,0.2,1,1,0.5935538349839506,0.7707938570371573,0.7550217071421078,0.7169270020824935,0.7707938570371573,0.7707938570371573,0.023718240869860362,1.0,1.0,1.0,1.0,1.0,360.93819189071655
1e-05,128,0.2,2,4,0.04708541710910909,0.9835618417962753,0.9871431283665656,0.986645626726424,0.9835618417962753,0.9835618417962753,0.0012805572478100657,1.0,1.0,1.0,1.0,1.0,457.8785445690155
1e-05,128,0.2,3,3,0.08363459296766186,0.9704739704739704,0.9747439224392392,0.9732030257958689,0.9704739704739704,0.9704739704739704,0.0009430401842109859,1.0,1.0,1.0,1.0,1.0,425.91345739364624
1e-05,128,0.2,4,4,0.046046897001813136,0.9838462509239728,0.9865518197549221,0.9860014489187654,0.9838462509239728,0.9838462509239728,0.005967658536251,1.0,1.0,1.0,1.0,1.0,459.7898151874542
1e-05,128,0.2,5,3,0.0817461359664811,0.9709708895755408,0.974337014612824,0.9724295867794785,0.9709708895755408,0.9709708895755408,0.0002706957166083157,1.0,1.0,1.0,1.0,1.0,426.16906905174255
1e-05,128,0.2,6,3,0.08013097300523044,0.972001011250158,0.9766291111713342,0.9744389474308921,0.972001011250158,0.972001011250158,0.007451172583926193,1.0,1.0,1.0,1.0,1.0,424.55339908599854
1e-05,128,0.2,7,2,0.17068246281727933,0.9390488585217721,0.9481162284426112,0.9427999714060719,0.9390488585217721,0.9390488585217721,0.010876471176743507,1.0,1.0,1.0,1.0,1.0,389.8207700252533
1e-05,128,0.2,8,3,0.08310387926263908,0.970914077442171,0.9748918589885542,0.973047944233931,0.970914077442171,0.970914077442171,0.0017129193015751384,1.0,1.0,1.0,1.0,1.0,419.70778918266296
1e-05,128,0.2,9,3,0.08094498902217281,0.9717530944390315,0.9764069590897331,0.9748751559660536,0.9717530944390315,0.9717530944390315,0.0023882487869178433,1.0,1.0,1.0,1.0,1.0,423.2118821144104
1e-05,128,0.2,10,3,0.07960832532976442,0.9716354313364388,0.9749084661038653,0.9724224198279592,0.9716354313364388,0.9716354313364388,0.003621372678834531,1.0,1.0,1.0,1.0,1.0,420.7542173862457
1e-05,128,0.2,11,3,0.07885949612260898,0.9719875821240344,0.9763038688763664,0.9742340501091499,0.9719875821240344,0.9719875821240344,0.0016489864922025138,1.0,1.0,1.0,1.0,1.0,424.83578085899353
1e-05,128,0.2,12,3,0.08132979380048401,0.9711656552521312,0.9764162132023262,0.9743211646317641,0.9711656552521312,0.9711656552521312,0.0033332656991357603,1.0,1.0,1.0,1.0,1.0,422.8758544921875
1e-05,128,0.2,13,2,0.17131069874077084,0.9389864816019663,0.9455992711388402,0.9387356195287226,0.9389864816019663,0.9389864816019663,0.009540108032524586,1.0,1.0,1.0,1.0,1.0,392.18869400024414
1e-05,128,0.2,14,1,0.6036340764142785,0.7650886611355132,0.7477818999079712,0.7080850254001525,0.7650886611355132,0.7650886611355132,0.01573069766163826,1.0,1.0,1.0,1.0,1.0,356.8846609592438
1e-05,128,0.2,15,4,0.0453819348624608,0.9838339478059712,0.9862960306934807,0.9857986587687035,0.9838339478059712,0.9838339478059712,0.001726658665575087,1.0,1.0,1.0,1.0,1.0,453.01826000213623
1e-05,128,0.2,16,4,0.0477735320606136,0.9831265731751169,0.9863856015719367,0.9859733852063236,0.9831265731751169,0.9831265731751169,0.0013291691225108312,1.0,1.0,1.0,1.0,1.0,457.1228234767914
1e-05,128,0.2,17,4,0.04884206496747833,0.9828100428393254,0.9860387524822116,0.9852385846134676,0.9828100428393254,0.9828100428393254,0.0032660369761288166,1.0,1.0,1.0,1.0,1.0,453.3721001148224
1e-05,128,0.2,18,3,0.08197069560724592,0.9708784271284271,0.9757823943484617,0.9745188333658914,0.9708784271284271,0.9708784271284271,0.0031650254321801993,1.0,1.0,1.0,1.0,1.0,423.55681228637695
1e-05,128,0.2,19,5,0.03034334740544234,0.9893853235851611,0.9915525889414161,0.9912222146111141,0.9893853235851611,0.9893853235851611,0.0040605643380790795,1.0,1.0,1.0,1.0,1.0,487.59713983535767
1e-05,128,0.2,20,1,0.5985746147927249,0.7657103084210146,0.7506074879244767,0.7089324830656007,0.7657103084210146,0.7657103084210146,0.07912499457597733,1.0,1.0,1.0,1.0,1.0,357.08472871780396
1e-05,128,0.2,21,1,0.597800680389286,0.7681418808981452,0.7474782729670224,0.7054157248234098,0.7681418808981452,0.7681418808981452,0.0003768825554288924,1.0,1.0,1.0,1.0,1.0,357.93138813972473
1e-05,128,0.2,22,5,0.029708633390728968,0.9897209587755397,0.9914668489734545,0.9910801937579848,0.9897209587755397,0.9897209587755397,0.0001431643476179387,1.0,1.0,1.0,1.0,1.0,486.7953052520752
1e-05,128,0.2,23,5,0.03057794765563301,0.9888979149742757,0.9908210872493525,0.9907782223097354,0.9888979149742757,0.9888979149742757,0.002547401150087638,1.0,1.0,1.0,1.0,1.0,487.6905701160431
1e-05,128,0.2,24,3,0.07841339265257533,0.9724706009862895,0.9753893264384647,0.9736521858593246,0.9724706009862895,0.9724706009862895,0.0010292429942637682,1.0,1.0,1.0,1.0,1.0,421.15275287628174
1e-05,128,0.2,25,3,0.08247957508002261,0.9709552922505366,0.9748609007592622,0.9727657715639098,0.9709552922505366,0.9709552922505366,0.011442920406123781,1.0,1.0,1.0,1.0,1.0,423.9549243450165
1e-05,128,0.5,0,15,0.059610403080862025,0.9786283113928165,0.9825913893050267,0.9826029023396655,0.9786283113928165,0.9786283113928165,0.002846544484153712,1.0,1.0,1.0,1.0,1.0,813.4819283485413
1e-05,128,0.5,1,9,0.16373711022928097,0.9394456174543879,0.9485054524067114,0.946058227608802,0.9394456174543879,0.9394456174543879,0.0037675322288185614,1.0,1.0,1.0,1.0,1.0,620.5216345787048
1e-05,128,0.5,2,13,0.08364409823910379,0.969860365974819,0.9750807082384221,0.9742318993483053,0.969860365974819,0.969860365974819,0.000715110101737082,1.0,1.0,1.0,1.0,1.0,748.3216934204102
1e-05,128,0.5,3,10,0.13713313897263898,0.9496304728862869,0.9573319367292583,0.957214639146432,0.9496304728862869,0.9496304728862869,0.006090401206165552,1.0,1.0,1.0,1.0,1.0,646.3441226482391
1e-05,128,0.5,4,14,0.07092496430548054,0.9739665026051526,0.9775900926539816,0.9767248179513311,0.9739665026051526,0.9739665026051526,0.0014234844880636913,1.0,1.0,1.0,1.0,1.0,782.4840276241302
1e-05,128,0.5,5,8,0.20460468245211547,0.9254711696572162,0.935310925239726,0.93332063825274,0.9254711696572162,0.9254711696572162,0.003032462438568473,1.0,1.0,1.0,1.0,1.0,584.9957151412964
1e-05,128,0.5,6,14,0.0687928443453629,0.9751701970132004,0.9788195813160497,0.9780516538217692,0.9751701970132004,0.9751701970132004,0.0061243140012209795,1.0,1.0,1.0,1.0,1.0,777.7961022853851
1e-05,128,0.5,7,11,0.11105785624307621,0.9593930191782802,0.9644394499982463,0.9633172028451832,0.9593930191782802,0.9593930191782802,0.010896467603743076,1.0,1.0,1.0,1.0,1.0,687.212292432785
1e-05,128,0.5,8,9,0.16249930007458982,0.9393742557107286,0.9472231964547244,0.9444186392398572,0.9393742557107286,0.9393742557107286,0.003134717806316321,1.0,1.0,1.0,1.0,1.0,616.5750062465668
1e-05,128,0.5,9,13,0.0846191143118218,0.9691007181263758,0.972588453368801,0.9728097096250794,0.9691007181263758,0.9691007181263758,0.0038262880074658562,1.0,1.0,1.0,1.0,1.0,746.434538602829
1e-05,128,0.5,10,12,0.0976339015820552,0.9643772794569024,0.9697831369628375,0.9693118462361969,0.9643772794569024,0.9643772794569024,0.0034792080945205976,1.0,1.0,1.0,1.0,1.0,714.1093122959137
1e-05,128,0.5,11,13,0.07875928943881953,0.9711212186845715,0.9756028379436639,0.9753196533776531,0.9711212186845715,0.9711212186845715,0.002180631559221419,1.0,1.0,1.0,1.0,1.0,750.6328639984131
1e-05,128,0.5,12,9,0.16719130026072956,0.9393602803063141,0.9476882308623772,0.9451651981433525,0.9393602803063141,0.9393602803063141,0.012177625464068519,1.0,1.0,1.0,1.0,1.0,617.6147797107697
1e-05,128,0.5,13,5,0.4019489292315786,0.8434179136846671,0.8601001093339132,0.8515974653847902,0.8434179136846671,0.8434179136846671,0.0372498482465744,1.0,1.0,1.0,1.0,1.0,488.9875633716583
1e-05,128,0.5,14,5,0.40662898740745507,0.8412685501509318,0.8550551202496605,0.8454740921724977,0.8412685501509318,0.8412685501509318,0.016001304611563683,1.0,1.0,1.0,1.0,1.0,484.17687606811523
1e-05,128,0.5,15,11,0.11618223983377297,0.9578182606809803,0.9635859252459122,0.9623067705590566,0.9578182606809803,0.9578182606809803,0.020290782675147057,1.0,1.0,1.0,1.0,1.0,682.9985091686249
